name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,genre,related_artists
Tutti Frutti,Elvis Presley,Elvis Presley,1956-03-23,117560,46,0.68,0.635,0.618,0.0,0.189,-8.619,0.0589,114.188,4,rock-and-roll,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
Trying to Get to You,Elvis Presley,Elvis Presley,1956-03-23,150720,40,0.453,0.551,0.663,6.31e-06,0.341,-8.681,0.0499,103.817,4,rock-and-roll,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
I'm Gonna Sit Right Down and Cry (Over You),Elvis Presley,Elvis Presley,1956-03-23,123040,30,0.776,0.669,0.648,3.67e-05,0.265,-9.28,0.0447,106.832,4,rock-and-roll,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
I'll Never Let You Go (Little Darlin'),Elvis Presley,Elvis Presley,1956-03-23,143266,30,0.971,0.384,0.155,0.0024,0.0921,-14.173,0.0395,128.666,4,rock-and-roll,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
Blue Moon - Take 9/M,Elvis Presley,Elvis Presley,1956-03-23,162213,42,0.952,0.419,0.1,0.449,0.112,-22.829,0.0415,129.803,1,rock-and-roll,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
Money Honey,Elvis Presley,Elvis Presley,1956-03-23,155093,37,0.463,0.635,0.616,0.0,0.144,-9.533,0.0345,133.34,4,rock-and-roll,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
Kentucky,Tragic Songs Of Life 1956,The Louvin Brothers,2000-01-01,157653,3,0.242,0.486,0.467,0.0,0.376,-6.976,0.035,178.603,4,appalachian folk,"['Charlie Louvin', 'The Delmore Brothers', 'The Carter Family', 'Roy Acuff', 'Jim & Jesse']"
I'll Be All Smiles Tonight,Tragic Songs Of Life 1956,The Louvin Brothers,2000-01-01,193226,1,0.308,0.53,0.359,0.0,0.122,-9.4,0.0396,142.748,3,appalachian folk,"['Charlie Louvin', 'The Delmore Brothers', 'The Carter Family', 'Roy Acuff', 'Jim & Jesse']"
"Let Her Hair Go, God Bless Her",Tragic Songs Of Life 1956,The Louvin Brothers,2000-01-01,174226,1,0.435,0.717,0.568,2.58e-05,0.339,-9.401,0.0357,121.706,3,appalachian folk,"['Charlie Louvin', 'The Delmore Brothers', 'The Carter Family', 'Roy Acuff', 'Jim & Jesse']"
What Is Home With Out Love,Tragic Songs Of Life 1956,The Louvin Brothers,2000-01-01,179173,1,0.63,0.646,0.349,0.0,0.222,-9.531,0.0371,147.649,3,appalachian folk,"['Charlie Louvin', 'The Delmore Brothers', 'The Carter Family', 'Roy Acuff', 'Jim & Jesse']"
A Tiny Broken Heart,Tragic Songs Of Life 1956,The Louvin Brothers,2000-01-01,152413,1,0.498,0.486,0.356,0.0,0.169,-9.269,0.0392,181.564,4,appalachian folk,"['Charlie Louvin', 'The Delmore Brothers', 'The Carter Family', 'Roy Acuff', 'Jim & Jesse']"
In The Pines,Tragic Songs Of Life 1956,The Louvin Brothers,2000-01-01,193226,2,0.779,0.71,0.276,0.0,0.426,-9.657,0.0328,118.144,3,appalachian folk,"['Charlie Louvin', 'The Delmore Brothers', 'The Carter Family', 'Roy Acuff', 'Jim & Jesse']"
Alabama,Tragic Songs Of Life 1956,The Louvin Brothers,2000-01-01,162320,2,0.691,0.644,0.323,0.0,0.383,-8.986,0.03,127.786,3,appalachian folk,"['Charlie Louvin', 'The Delmore Brothers', 'The Carter Family', 'Roy Acuff', 'Jim & Jesse']"
Katie Dear,Tragic Songs Of Life 1956,The Louvin Brothers,2000-01-01,152266,1,0.661,0.543,0.391,0.0,0.289,-8.947,0.0357,180.793,4,appalachian folk,"['Charlie Louvin', 'The Delmore Brothers', 'The Carter Family', 'Roy Acuff', 'Jim & Jesse']"
My Brother's Will,Tragic Songs Of Life 1956,The Louvin Brothers,2000-01-01,194600,1,0.63,0.723,0.303,0.0,0.298,-8.556,0.0283,82.225,3,appalachian folk,"['Charlie Louvin', 'The Delmore Brothers', 'The Carter Family', 'Roy Acuff', 'Jim & Jesse']"
Knoxville Girl,Tragic Songs Of Life 1956,The Louvin Brothers,2000-01-01,227453,10,0.671,0.644,0.348,0.0,0.323,-8.903,0.032,178.95,3,appalachian folk,"['Charlie Louvin', 'The Delmore Brothers', 'The Carter Family', 'Roy Acuff', 'Jim & Jesse']"
Take The News To Mother,Tragic Songs Of Life 1956,The Louvin Brothers,2000-01-01,166946,0,0.366,0.484,0.247,0.0,0.227,-10.372,0.0309,173.276,4,appalachian folk,"['Charlie Louvin', 'The Delmore Brothers', 'The Carter Family', 'Roy Acuff', 'Jim & Jesse']"
Mary Of The Wild Moor,Tragic Songs Of Life 1956,The Louvin Brothers,2000-01-01,193400,1,0.695,0.609,0.281,0.0,0.372,-9.198,0.0307,133.606,3,appalachian folk,"['Charlie Louvin', 'The Delmore Brothers', 'The Carter Family', 'Roy Acuff', 'Jim & Jesse']"
Just A Gigolo / I Ain't Got Nobody - Medley / Remastered 2002,The Wildest! (Expanded Edition),Louis Prima,1956-11-01,284893,52,0.683,0.519,0.638,0.0,0.0561,-5.226,0.0942,124.878,4,adult standards,"['Sam Butera & The Witnesses', 'Keely Smith', 'Cab Calloway', 'Louis Jordan', 'Bobby Darin']"
(Nothing's Too Good) For My Baby - Remastered,The Wildest! (Expanded Edition),Louis Prima,1956-11-01,158240,35,0.691,0.755,0.394,0.0,0.0524,-7.438,0.126,107.751,4,adult standards,"['Sam Butera & The Witnesses', 'Keely Smith', 'Cab Calloway', 'Louis Jordan', 'Bobby Darin']"
The Lip - Remastered,The Wildest! (Expanded Edition),Louis Prima,1956-11-01,138200,25,0.845,0.714,0.413,0.0,0.0642,-7.59,0.256,142.417,4,adult standards,"['Sam Butera & The Witnesses', 'Keely Smith', 'Cab Calloway', 'Louis Jordan', 'Bobby Darin']"
Body And Soul - Remastered,The Wildest! (Expanded Edition),Louis Prima,1956-11-01,204493,21,0.906,0.594,0.4,0.596,0.256,-7.677,0.0793,94.981,1,adult standards,"['Sam Butera & The Witnesses', 'Keely Smith', 'Cab Calloway', 'Louis Jordan', 'Bobby Darin']"
"Oh, Marie",The Wildest! (Expanded Edition),Louis Prima,1956-11-01,148000,38,0.54,0.647,0.819,1.48e-05,0.128,-5.551,0.0655,111.851,4,adult standards,"['Sam Butera & The Witnesses', 'Keely Smith', 'Cab Calloway', 'Louis Jordan', 'Bobby Darin']"
Basin Street Blues/When It's Sleepy Time Down South - Medley / Remastered,The Wildest! (Expanded Edition),Louis Prima,1956-11-01,254173,28,0.673,0.576,0.497,9.56e-06,0.0636,-7.581,0.233,111.003,4,adult standards,"['Sam Butera & The Witnesses', 'Keely Smith', 'Cab Calloway', 'Louis Jordan', 'Bobby Darin']"
"Jump, Jive, An' Wail - Remastered",The Wildest! (Expanded Edition),Louis Prima,1956-11-01,211066,41,0.766,0.632,0.769,5.05e-06,0.0595,-6.627,0.0701,101.927,4,adult standards,"['Sam Butera & The Witnesses', 'Keely Smith', 'Cab Calloway', 'Louis Jordan', 'Bobby Darin']"
Buona Sera - Remastered 2002,The Wildest! (Expanded Edition),Louis Prima,1956-11-01,180093,53,0.689,0.544,0.459,0.0,0.0346,-8.069,0.0524,99.175,4,adult standards,"['Sam Butera & The Witnesses', 'Keely Smith', 'Cab Calloway', 'Louis Jordan', 'Bobby Darin']"
Night Train - Remastered,The Wildest! (Expanded Edition),Louis Prima,1956-11-01,168773,27,0.389,0.702,0.585,0.277,0.0648,-6.607,0.0966,109.034,3,adult standards,"['Sam Butera & The Witnesses', 'Keely Smith', 'Cab Calloway', 'Louis Jordan', 'Bobby Darin']"
(I'll Be Glad When You're Dead) You Rascal You - Remastered,The Wildest! (Expanded Edition),Louis Prima,1956-11-01,195733,26,0.397,0.565,0.75,1.8e-05,0.0978,-5.883,0.0648,115.699,4,adult standards,"['Sam Butera & The Witnesses', 'Keely Smith', 'Cab Calloway', 'Louis Jordan', 'Bobby Darin']"
"Five Months, Two Weeks, Two Days - Remastered",The Wildest! (Expanded Edition),Louis Prima,1956-11-01,131200,35,0.713,0.728,0.724,4.81e-06,0.0465,-6.005,0.127,98.213,4,adult standards,"['Sam Butera & The Witnesses', 'Keely Smith', 'Cab Calloway', 'Louis Jordan', 'Bobby Darin']"
Banana Split For My Baby - Remastered,The Wildest! (Expanded Edition),Louis Prima,1956-11-01,151293,37,0.626,0.796,0.378,0.0,0.0229,-8.864,0.298,136.996,4,adult standards,"['Sam Butera & The Witnesses', 'Keely Smith', 'Cab Calloway', 'Louis Jordan', 'Bobby Darin']"
Whistle Stop - Remastered,The Wildest! (Expanded Edition),Louis Prima,1956-11-01,138000,26,0.762,0.765,0.569,0.0,0.0469,-5.819,0.0486,82.303,4,adult standards,"['Sam Butera & The Witnesses', 'Keely Smith', 'Cab Calloway', 'Louis Jordan', 'Bobby Darin']"
Be Mine (Little Baby) - Remastered,The Wildest! (Expanded Edition),Louis Prima,1956-11-01,155240,26,0.657,0.685,0.566,1.66e-06,0.0395,-6.628,0.107,177.041,4,adult standards,"['Sam Butera & The Witnesses', 'Keely Smith', 'Cab Calloway', 'Louis Jordan', 'Bobby Darin']"
Blueberry Hill,Blueberry Hill,Fats Domino,2011-10-18,142506,27,0.682,0.511,0.557,0.0,0.179,-4.656,0.0261,137.012,3,louisiana blues,"['Chubby Checker', 'The Big Bopper', 'Buddy Holly & The Crickets', 'Bill Haley & His Comets', 'Little Richard']"
Honey Chile,The Fat Man Sings,Fats Domino,1992-01-01,109826,6,0.389,0.683,0.254,3.7e-06,0.0654,-12.99,0.0664,142.98,4,louisiana blues,"['Chubby Checker', 'The Big Bopper', 'Buddy Holly & The Crickets', 'Bill Haley & His Comets', 'Little Richard']"
What's The Reason I'm Not Pleasing You,They Call Me The Fat Man (The Legendary Imperial Recordings),Fats Domino,2016-01-01,124400,2,0.672,0.691,0.406,1.6e-05,0.0346,-12.117,0.0834,96.001,4,louisiana blues,"['Chubby Checker', 'The Big Bopper', 'Buddy Holly & The Crickets', 'Bill Haley & His Comets', 'Little Richard']"
Blue Monday,Legends Of Rock n' Roll,Fats Domino,1962-01-01,137800,30,0.242,0.574,0.615,0.0,0.0799,-12.05,0.0362,102.688,4,louisiana blues,"['Chubby Checker', 'The Big Bopper', 'Buddy Holly & The Crickets', 'Bill Haley & His Comets', 'Little Richard']"
So Long,Essential,Fats Domino,1988-01-01,131666,21,0.702,0.558,0.578,0.00106,0.306,-11.217,0.0556,83.968,4,louisiana blues,"['Chubby Checker', 'The Big Bopper', 'Buddy Holly & The Crickets', 'Bill Haley & His Comets', 'Little Richard']"
La La,They Call Me The Fat Man (The Legendary Imperial Recordings),Fats Domino,2016-01-01,124333,6,0.726,0.496,0.415,0.00997,0.0908,-11.332,0.0446,165.054,4,louisiana blues,"['Chubby Checker', 'The Big Bopper', 'Buddy Holly & The Crickets', 'Bill Haley & His Comets', 'Little Richard']"
Troubles of My Own,Saga All Stars: Blueberry Hill / Selected Singles 1955-56,Fats Domino,1956-01-01,134573,4,0.917,0.473,0.405,4.72e-06,0.123,-12.345,0.044,155.774,3,louisiana blues,"['Chubby Checker', 'The Big Bopper', 'Buddy Holly & The Crickets', 'Bill Haley & His Comets', 'Little Richard']"
You Done Me Wrong,100 Greatest Rock 'n' Roll Hits from the 50s & 60s,Various Artists,2016-02-19,127640,13,0.697,0.405,0.832,0.000128,0.274,-8.067,0.0654,146.75,4,,"['Boney M.', 'Bee Gees', 'Bonnie Tyler', 'Olivia Newton-John', 'Cher']"
Reeling and Rocking,BD Music Presents Fats Domino,Fats Domino,2007-06-25,142186,4,0.858,0.456,0.332,1.14e-05,0.111,-10.77,0.039,135.294,1,louisiana blues,"['Chubby Checker', 'The Big Bopper', 'Buddy Holly & The Crickets', 'Bill Haley & His Comets', 'Little Richard']"
The Fat Man's Hop,BD Music Presents Fats Domino,Fats Domino,2007-06-25,147013,4,0.565,0.294,0.684,0.00438,0.126,-10.235,0.0477,83.575,4,louisiana blues,"['Chubby Checker', 'The Big Bopper', 'Buddy Holly & The Crickets', 'Bill Haley & His Comets', 'Little Richard']"
"Poor, Poor Me",Blues Kingpin,Fats Domino,2003-01-01,130506,7,0.855,0.336,0.555,9.34e-05,0.129,-11.758,0.0402,94.25,4,louisiana blues,"['Chubby Checker', 'The Big Bopper', 'Buddy Holly & The Crickets', 'Bill Haley & His Comets', 'Little Richard']"
Trust In Me,Blues Kingpin,Fats Domino,2003-01-01,168573,5,0.793,0.477,0.588,0.000475,0.206,-10.889,0.0306,97.369,4,louisiana blues,"['Chubby Checker', 'The Big Bopper', 'Buddy Holly & The Crickets', 'Bill Haley & His Comets', 'Little Richard']"
"Take The ""A"" Train - Live In Newport / 1959",Jazz Collection: Live! At The Newport Jazz Festival '59,Duke Ellington,1989-01-01,40626,2,0.81,0.453,0.283,0.0,0.174,-17.82,0.289,82.412,4,african-american classical,"['Count Basie', 'Dizzy Gillespie', 'Charlie Parker', 'Benny Goodman', 'Thelonious Monk']"
Idiom 59 - Live In Newport / 1959,Jazz Collection: Live! At The Newport Jazz Festival '59,Duke Ellington,1989-01-01,873106,2,0.323,0.418,0.305,4.22e-05,0.234,-14.793,0.069,85.091,4,african-american classical,"['Count Basie', 'Dizzy Gillespie', 'Charlie Parker', 'Benny Goodman', 'Thelonious Monk']"
"Rockin' In Rhythm - Live At Newport Jazz Festival, Newport, RI / 1959",Jazz Collection: Live! At The Newport Jazz Festival '59,Duke Ellington,1989-01-01,257426,7,0.386,0.585,0.567,0.00691,0.685,-13.222,0.152,108.325,4,african-american classical,"['Count Basie', 'Dizzy Gillespie', 'Charlie Parker', 'Benny Goodman', 'Thelonious Monk']"
"Flirtibird - Live At Newport Jazz Festival, Newport, RI / 1959",Jazz Collection: Live! At The Newport Jazz Festival '59,Duke Ellington,1989-01-01,178333,2,0.643,0.44,0.323,0.078,0.572,-14.732,0.133,76.443,4,african-american classical,"['Count Basie', 'Dizzy Gillespie', 'Charlie Parker', 'Benny Goodman', 'Thelonious Monk']"
"Perdido - Live At Newport Jazz Festival, Newport, RI / 1959",Jazz Collection: Live! At The Newport Jazz Festival '59,Duke Ellington,1989-01-01,285666,4,0.463,0.512,0.481,0.0,0.44,-14.68,0.256,95.237,4,african-american classical,"['Count Basie', 'Dizzy Gillespie', 'Charlie Parker', 'Benny Goodman', 'Thelonious Monk']"
Cop-Out - Live In Newport / 1959,Jazz Collection: Live! At The Newport Jazz Festival '59,Duke Ellington,1989-01-01,625666,2,0.623,0.41,0.532,0.000159,0.197,-13.397,0.149,100.347,4,african-american classical,"['Count Basie', 'Dizzy Gillespie', 'Charlie Parker', 'Benny Goodman', 'Thelonious Monk']"
V.I.P.'s Boogie - Live In Newport / 1959,Jazz Collection: Live! At The Newport Jazz Festival '59,Duke Ellington,1989-01-01,210733,2,0.361,0.318,0.353,2.64e-05,0.807,-16.615,0.0685,172.407,3,african-american classical,"['Count Basie', 'Dizzy Gillespie', 'Charlie Parker', 'Benny Goodman', 'Thelonious Monk']"
Jam With Sam - Live In Newport / 1959,Jazz Collection: Live! At The Newport Jazz Festival '59,Duke Ellington,1989-01-01,280773,2,0.381,0.545,0.534,1.43e-05,0.826,-12.149,0.399,116.952,4,african-american classical,"['Count Basie', 'Dizzy Gillespie', 'Charlie Parker', 'Benny Goodman', 'Thelonious Monk']"
Skin Deep - Live In Newport / 1959,Jazz Collection: Live! At The Newport Jazz Festival '59,Duke Ellington,1989-01-01,574266,1,0.281,0.496,0.582,0.41,0.449,-16.848,0.0664,123.818,4,african-american classical,"['Count Basie', 'Dizzy Gillespie', 'Charlie Parker', 'Benny Goodman', 'Thelonious Monk']"
Things Ain't What They Used To Be - Live In Newport / 1959,Jazz Collection: Live! At The Newport Jazz Festival '59,Duke Ellington,1989-01-01,239893,6,0.246,0.434,0.508,0.000116,0.97,-14.294,0.166,121.943,4,african-american classical,"['Count Basie', 'Dizzy Gillespie', 'Charlie Parker', 'Benny Goodman', 'Thelonious Monk']"
Jones - Live In Newport / 1959,Jazz Collection: Live! At The Newport Jazz Festival '59,Duke Ellington,1989-01-01,448333,3,0.141,0.539,0.324,1.65e-06,0.925,-16.036,0.241,131.753,4,african-american classical,"['Count Basie', 'Dizzy Gillespie', 'Charlie Parker', 'Benny Goodman', 'Thelonious Monk']"
You Make Me Feel So Young - Remastered 1998,Songs For Swingin' Lovers! (Remastered),Frank Sinatra,1956-03,177400,65,0.378,0.577,0.307,0.0,0.18,-11.556,0.0428,125.165,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
It Happened In Monterey - Remastered 1998,Songs For Swingin' Lovers! (Remastered),Frank Sinatra,1956-03,156733,35,0.435,0.56,0.264,0.0,0.057,-12.828,0.0355,120.0,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
You're Getting To Be A Habit With Me - Remastered 1998,Songs For Swingin' Lovers! (Remastered),Frank Sinatra,1956-03,139226,35,0.463,0.57,0.18,0.0,0.0874,-15.892,0.0509,106.949,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
You Brought A New Kind Of Love To Me - Remastered 1998,Songs For Swingin' Lovers! (Remastered),Frank Sinatra,1956-03,168933,29,0.465,0.539,0.205,0.0,0.117,-13.896,0.032,107.954,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
Too Marvelous For Words - Remastered 1998,Songs For Swingin' Lovers! (Remastered),Frank Sinatra,1956-03,149440,39,0.655,0.62,0.266,0.0,0.0589,-11.963,0.0419,125.983,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
Old Devil Moon - Remastered 1998,Songs For Swingin' Lovers! (Remastered),Frank Sinatra,1956-03,236533,29,0.479,0.476,0.227,0.0,0.179,-12.879,0.0288,100.985,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
Pennies From Heaven - Remastered 1998,Songs For Swingin' Lovers! (Remastered),Frank Sinatra,1956-03,164160,31,0.576,0.532,0.249,2.23e-06,0.176,-13.429,0.0363,113.641,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
Love Is Here To Stay - Remastered 1998,Songs For Swingin' Lovers! (Remastered),Frank Sinatra,1956-03,162840,55,0.676,0.547,0.208,0.0,0.0999,-13.458,0.0334,108.996,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
I've Got You Under My Skin - Remastered 1998,Songs For Swingin' Lovers! (Remastered),Frank Sinatra,1956-03,223760,67,0.448,0.583,0.247,9.7e-06,0.107,-12.612,0.04,127.145,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
I Thought About You - Remastered 1998,Songs For Swingin' Lovers! (Remastered),Frank Sinatra,1956-03,150240,31,0.69,0.583,0.233,4.72e-06,0.1,-13.053,0.0367,115.909,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
We'll Be Together Again - Remastered 1998,Songs For Swingin' Lovers! (Remastered),Frank Sinatra,1956-03,266466,27,0.402,0.366,0.174,2.99e-05,0.102,-14.669,0.0324,69.266,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
Makin' Whoopee - Remastered 1998,Songs For Swingin' Lovers! (Remastered),Frank Sinatra,1956-03,186960,29,0.753,0.599,0.235,0.0,0.194,-12.847,0.0363,107.237,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
Swingin' Down The Lane - Remastered 1998,Songs For Swingin' Lovers! (Remastered),Frank Sinatra,1956-03,174640,31,0.437,0.44,0.273,1.19e-06,0.136,-12.346,0.0394,123.375,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
Anything Goes - Remastered 1998,Songs For Swingin' Lovers! (Remastered),Frank Sinatra,1956-03,163866,34,0.761,0.649,0.217,0.0,0.19,-12.861,0.0434,120.013,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
How About You? - Remastered 1998,Songs For Swingin' Lovers! (Remastered),Frank Sinatra,1956-03,165933,36,0.669,0.574,0.198,2.39e-06,0.104,-12.324,0.0364,118.467,4,adult standards,"['Dean Martin', 'Nat King Cole', 'Louis Armstrong', 'Tony Bennett', 'Sammy Davis Jr.']"
Oh Boy!,"The ""Chirping"" Crickets",Buddy Holly & The Crickets,1957-11-27,128960,38,0.75,0.533,0.556,0.0,0.194,-9.322,0.0416,96.501,4,rock-and-roll,"['The Big Bopper', 'The Crickets', 'Bill Haley', 'Bill Haley & His Comets', 'Chubby Checker']"
